val_loss,auc,val_Accuracy,val_CohenKappa,val_F1,val_Recall,val_Precision,epoch,step
0.6904296875,0.7012269496917725,0.5384615659713745,0.0,0.3500000238418579,0.5,0.26923078298568726,0,361
0.7041015625,0.6505101919174194,0.5384615659713745,0.0,0.3500000238418579,0.5,0.26923078298568726,1,723
0.70654296875,0.559341549873352,0.49450549483299255,0.03858518600463867,0.4457097351551056,0.5204081535339355,0.5368421077728271,2,1085
0.734375,0.6584062576293945,0.5549450516700745,0.038356244564056396,0.38827335834503174,0.5178571343421936,0.7737430334091187,3,1447
0.5732421875,0.7930029630661011,0.7417582273483276,0.47733110189437866,0.7382737398147583,0.7372448444366455,0.7415584325790405,4,1809
0.58154296875,0.7802478075027466,0.7252747416496277,0.43868738412857056,0.7165108919143677,0.7159863710403442,0.7322361469268799,5,2171
0.55859375,0.8405004739761353,0.708791196346283,0.43478256464004517,0.7012049555778503,0.7253401279449463,0.7655690908432007,6,2533
0.6201171875,0.7975583076477051,0.6483516693115234,0.3191489577293396,0.6371339559555054,0.6658163070678711,0.7019230723381042,7,2895
0.93017578125,0.7795796990394592,0.593406617641449,0.2291666865348816,0.5474462509155273,0.6215986013412476,0.7467948198318481,8,3257
0.685546875,0.7745991349220276,0.6153846383094788,0.26256078481674194,0.5915095806121826,0.6377550959587097,0.6996479034423828,9,3619
0.84619140625,0.8051506280899048,0.5879120826721191,0.21686744689941406,0.546496570110321,0.6147959232330322,0.7129817605018616,10,3981
0.607421875,0.7486637830734253,0.6593406796455383,0.3122866749763489,0.6559755802154541,0.6556122303009033,0.6569852828979492,11,4343
0.5771484375,0.7569849491119385,0.7032967209815979,0.4050847887992859,0.7023982405662537,0.7032313346862793,0.7022485733032227,12,4705
1.09375,0.7537658214569092,0.6758241653442383,0.3230361342430115,0.6405690312385559,0.6556122303009033,0.7215879559516907,13,5067
0.95068359375,0.7444120645523071,0.6538461446762085,0.32369935512542725,0.6491754055023193,0.6666666269302368,0.6830065250396729,14,5429
0.96142578125,0.7335398197174072,0.6758241653442383,0.34834325313568115,0.6741617918014526,0.6743197441101074,0.6740448474884033,15,5791
1.6279296875,0.6633260250091553,0.5549450516700745,0.1473684310913086,0.5259655117988586,0.5773809552192688,0.6142191290855408,16,6153
